Emoji,Status,Date Submitted
Simit,Declined,8/31/2021
Simit,Declined,8/31/2021
Sinking Ship,Declined,6/24/2022
Sitting/Standing/Kneeling Person,Released as Emoji,4/3/2018
Six Chinese Styles,Expired,11/29/2016
Skirt,Expired,11/27/2018
Skunk,Released as Emoji,4/18/2018
Sled,Released as Emoji,5/10/2016
Slide,Released as Emoji,5/19/2020
Sloth (A),Declined,11/30/2017
Sloth (B),Released as Emoji,3/2/2018
Smiley Facewith Birthmark,Declined,7/31/2024
Smiley with eye twitch,decline ,4/2/2025
SmileywithNEVUS birthmark,Declined,7/31/2024
Smiling Face Mask,Declined,8/27/2020
Smiling Face w/ Fire-Eyes,Declined,4/4/2022
Smiling Face With Beanie,declined,4/2/2025
Smiling Face with Blood aka bloody nose,decline ,4/2/2025
Smiling Face with Leftward Eyes,Declined,3/20/2020
Smiling Face with Tear,Released as Emoji,4/23/2019
Smiling HMD face,Declined,7/24/2017
smiling squinting face,Declined,7/27/2022
Smiling with headphones,Declined,5/19/2020
Smilodon,Declined,6/5/2024
Smoothie,Declined,2/27/2018
Smug,Declined,7/30/2022
Snapping Hand Fingers,Released as Emoji,8/21/2019
Snorkel Face,Declined,4/12/2018
Snow Leopard,Declined,5/19/2020
Snowmobile,Declined,7/30/2024
Soccer Player,Declined,1/6/2020
Socks,Released as Emoji,8/16/2016
Soft Pink Heart,Declined,7/31/2024
Softball,Declined,12/20/2017
SOJU,Declined,4/16/2022
Solar Eclipse,Declined,4/13/2024
Solar Panel,Expired,8/22/2019
Solar Panel,Declined,8/13/2021
Solar Sail,decline,4/2/2025
South-YemenCulturalSymbol,Declined,5/12/2024
Soy Sauce,Declined,4/16/2018
Space Rover,Declined,6/27/2024
Sparkly eyes face,Declined,7/21/2022
Sparrow,Declined,7/28/2022
Speak Out Against Crime ,Declined,4/3/2024
Speaking in Someone's Ear,Under Consideration,4/2/2025
Sphinx,Declined,4/5/2024
SPICE,Declined,7/20/2022
Spine,Declined,10/27/2020
Spine,Declined,4/5/2024
splatter,Released as Emoji,7/31/2022
Sports related,Expired,6/30/2017
Spray Can,Under Consideration,2/6/2020
spring,declined,4/2/2025
Spritz Drink ,decline,4/2/2025
squash,Declined,7/29/2022
Squash (sport) A,Declined,3/20/2018
Squash (sport) B,Declined,9/13/2019
Squash (sport) C,Declined,12/8/2016
Squatting Person,Declined,7/31/2022
Squeeze Tube,Declined,11/12/2019
Squinting Face,Under Consideration,8/16/2021
Squirrel,Declined,1/3/2018
Stablecoin,decline ,4/2/2025
Stairs,Declined,7/31/2024
Stand-up Paddleboard,Declined,8/29/2019
Standard Motorcycle,decline,4/2/2025
Stapler,Declined,4/22/2024
Starfish,Expired,11/20/2018
starfish,Declined,7/31/2022
Steamy Room,Released as Emoji,8/15/2016
Steelpan,Declined,8/31/2021
steelpan,Decline,4/2/2025
Steepled Hands,Declined,7/31/2024
Stegosaurus,Expired,4/17/2018
Stethoscope,Released as Emoji,4/25/2018
Sticky Note,Declined,7/9/2019
Stingray,Declined,6/25/2024
Stinky Trash Bag,decline ,4/2/2025
Stomach,Declined,10/27/2020
Stomach,Declined,7/28/2022
Stool Emoji,Declined,7/25/2022
Stork,Expired,10/4/2016
Stork,Declined,7/31/2024
Stout Emoji,Declined,7/23/2024
Stressed Out Face,Declined,1/8/2018
stretching cat,Declined,7/31/2024
Stroller,decline ,4/2/2025
Stuffed,Declined,4/4/2022
Stuffed Mouth,Declined,7/31/2022
Stump,Declined,3/19/2019
stylus,Declined,5/21/2024
Sub sandwich,Expired,7/19/2017
Submarine,Under Consideration,8/20/2019
Sugar,Declined,5/16/2024
Sunglasses Cat,Expired,9/19/2017
Sunscreen,Declined,6/21/2017
Sunset Landscape,Declined,8/10/2020
Surgeon,Declined,8/27/2021
Surgical Mask,Declined,6/11/2020
Surrealist Face,Declined,7/7/2020
Surveillance Camera,Declined,5/22/2018
SWALLOW,decline,4/2/2025
sweater,Declined,4/2/2024
Szekely Gate,Declined,6/3/2024
Table,Expired,11/4/2020
table,Declined,8/31/2021
TABLET (Compressed Tablet),Declined,8/31/2021
Take it easy,Declined,5/16/2024
Takeaway Hot Beverage,Declined,2/3/2020
Takeout Box,Released as Emoji,1/19/2016
Takoyaki,Declined,5/19/2024
takoyaki,Declined,5/19/2024
talking out side of neck,Declined,7/25/2024
Tall Glass,Declined,11/7/2019
Tamale,Released as Emoji,4/23/2019
Tamales,Released as Emoji,2/20/2018
Tambourine,decline,4/2/2025
Tampon,Declined,4/2/2019
Tampon with blood,decline,4/2/2025
Tandem,Declined,7/31/2024
Tandem Bicycle,decline,4/2/2025
Tape,Declined,4/4/2022
Tape,Declined,5/24/2022
Tapir,Expired,5/22/2018
TATTOO,Declined,7/31/2024
tea,Declined,7/25/2022
Teamwork,decline,4/2/2025
Teapot (A),Released as Emoji,4/9/2019
Teapot (B),Released as Emoji,4/16/2019
Tequila Shot,Declined,4/26/2024
Tereré,Declined,10/31/2016
Tetsubin,Declined,7/30/2024
The Greatest Name,Declined,6/16/2024
The Internet,declined,4/2/2025
The Lamentation de Fleur,Declined,7/31/2024
Thief,Declined,5/23/2021
Third Eye Face,Declined,7/21/2022
Thong Sandal / Flip-Flop (A),Released as Emoji,4/9/2019
Three finger salute,Expired,8/28/2017
Three Finger Salute,Under Consideration,6/23/2016
Throw the roc emoji,Declined,4/21/2022
Thumb point,Recommended to UTC,4/2/2025
Thumbs-Up Smiley,Declined,11/9/2018
Tickle,Declined,5/21/2018
Timeout Hand Symbol,Declined,7/23/2024
Tin Foil Hat Face,decline,4/2/2025
Tincture,Declined,3/29/2019
Tinfoil Hat Smiley,decline ,4/2/2025
Tissue Box,Declined,7/31/2018
TOAST,Declined,4/15/2021
Toaster,Declined,4/23/2019
Tofu,Declined,10/1/2019
TOFU,Declined,4/2/2024
Together,Declined,7/14/2020
Toothbrush,Released as Emoji,4/23/2019
Torah,Declined,3/20/2020
Toucan,Declined,9/1/2021
Touchdown,Declined,7/31/2022
Towel with pattern,Declined,7/26/2022
Traffic Cone,Declined,4/23/2019
Traffic Cone,Declined,4/11/2024
Traffic Light Sequence,Declined,8/12/2020
Trail,Declined,4/16/2024
Train Conductor,Declined,6/16/2022
Trampoline,Declined,4/8/2024
Transgender flag (A),Declined,4/3/2017
Transgender flag (B),Released as Emoji,3/14/2019
Transmission Tower,decline,4/2/2025
Treasure Chest,Released as Emoji,7/31/2024
Treasure Chest,Declined,10/16/2018
Triceratops,Declined,3/19/2019
Triceratops,Declined,4/2/2024
Trigger Fingers,decline,4/2/2025
Troll (A),Released as Emoji,6/25/2019
Troll (B),Released as Emoji,12/13/2019
Trombone (A),Released as Emoji,11/30/2017
Trombone (B),Released as Emoji,12/6/2019
TROWEL,Declined,6/10/2024
Tryzub,Declined,7/26/2022
Tumbleweed,Under Consideration,4/2/2025
Tumbleweed (A),Declined,6/22/2016
Tumbleweed (B),Declined,8/7/2018
Turkic Headdress,Declined,4/8/2024
Turkish Tea,Declined,4/15/2021
Twenty-Sided Die (B),Declined,7/29/2020
Twirling Baton,Declined,10/16/2018
Two Hands Reaching Out,decline ,4/2/2025
Two People Hugging,Released as Emoji,4/16/2019
Typewriter,Declined,10/16/2018
Tyre (Wheel),Released as Emoji,4/23/2019
U+1F222,Declined,5/22/2018
Ukulele,Declined,5/22/2018
ukulele,Declined,8/19/2021
Undercarriage,decline,4/2/2025
Underwear,Released as Emoji,4/25/2018
unicycle,Declined,8/18/2021
Unity,Declined,8/22/2019
Up Switch & Down Switch,Declined,7/29/2024
Upset Face,Declined,4/5/2022
Uranus,Declined,4/2/2024
US state/other flags,Declined,4/7/2017
USB,Declined,11/19/2019
Uterus,Declined,7/29/2024
UwU Emoji,Decline,4/2/2025
Vaccinated,Declined,7/15/2021
Vacuum Cleaner,Expired,10/30/2020
Van Emoji,Declined,6/27/2024
VANILLA,Declined,4/15/2022
Varying ways to cook bacon ,Declined,7/1/2024
Vending Machine,Declined,7/1/2024
Venus,Declined,4/2/2024
Venus Fly Trap,Declined,8/27/2020
Vertebral Body,decline,4/2/2025
Vieira Shell,Expired,2/20/2018
Viking / Horned Helmet,Declined,8/11/2020
Village,Declined,7/30/2022
Vinyl record (A),Declined,9/19/2017
Vinyl record (B),Expired,9/12/2019
Vinyl Record (C),Declined,3/19/2019
Vinyl Record (D),Under Consideration,3/26/2020
Vinyl Record Player,Declined,11/19/2019
VIOLET FLOWER,Declined,8/16/2021
Virus/Bacteria,Declined,2/27/2018
Vitiligo,decline,4/2/2025
Volleyball-Net,Declined,6/1/2022
VR,Declined,6/24/2022
VR Headset (A),Declined,11/21/2017
VR Headset (B),Declined,10/2/2018
Vulture,Under Consideration,10/1/2019
Vulva/Vagina,Declined,11/12/2019
Waffle (A),Released as Emoji,2/1/2018
Waffle (B),Released as Emoji,3/29/2018
Waffle (C),Released as Emoji,3/29/2018
Waffle (D),Released as Emoji,3/29/2018
Wagon,Declined,3/31/2020
Wagon,Declined,7/30/2024
Walkie-Talkie,Declined,3/29/2018
Wall,Under Consideration,4/2/2025
Wallet,Declined,2/11/2020
Walrus Emoji,Declined,6/5/2024
Walrus Emoji,Declined,6/9/2024
Washing Machine,Expired,12/8/2016
Washing machine,declined,4/2/2025
Water Bottle,Declined,7/28/2020
Water Pistol,Declined,6/8/2018
Water Safety Flag,Declined,2/27/2018
Waterfall,Declined,5/31/2022
Watering Can,Declined,9/24/2019
Watering Can,decline,4/2/2025
Wave-Dissipating Block,Declined,4/7/2024
Weather symbols,Expired,10/4/2016
Webcam,Declined,8/31/2021
Weight Scale (B),Declined,12/18/2020
WELP,Declined,4/13/2022
West coast hand,Expired,7/26/2016
Westsyde,decline,4/2/2025
What even is this,Declined,10/12/2016
Wheat Beer,Declined,7/27/2022
WHEELIE BIN,Declined,4/5/2024
Whip,Declined,7/25/2022
Whisk,decline ,4/2/2025
Whispering Face,Declined,5/31/2022
Whistle,Expired,2/19/2019
WHISTLE,Declined,6/7/2021
Whistling,declined,4/2/2025
Whistling Face with Music Notes,Declined,4/19/2021
White Blood Cell,Declined,12/18/2020
white ermine,decline,4/2/2025
White Green Capsule,decline ,4/2/2025
White Heart,Declined,11/30/2017
White Rose,Expired,8/23/2016
White Sausage,Declined,7/27/2022
white wine,Declined,7/15/2022
White Wine (A),Declined,3/29/2018
White Wine (B),Declined,6/26/2018
White Wine (C),Declined,5/23/2018
White Wine (D),Declined,7/17/2019
Wide-eyed face,Declined,7/28/2024
Wide-eyed Face with Sweat,Declined,4/20/2021
WILDFIRE,Declined,7/1/2024
Wind Turbine,Declined,5/21/2020
wind turbine,Declined,7/29/2022
Windmill,Under Consideration,5/19/2020
Window,Released as Emoji,4/16/2019
Wine Bottle,Declined,4/15/2021
Wing,Released as Emoji,7/23/2021
Winged Dragon,Declined,3/19/2019
Winking Shush,Decline,4/2/2025
Winking with thermometer,Declined,1/11/2018
Wireless,Released as Emoji,7/22/2020
Wireless Earphones,Declined,5/17/2024
Witch Hat,Declined,8/4/2021
Woman Air Force,Declined,5/28/2022
Woman in Head Scarf,Released as Emoji,8/29/2016
Woman in Saree / Sari,Released as Emoji,2/27/2017
Woman with Birthmark,Declined,7/31/2024
Woman with Glasses,Declined,11/14/2018
Wombat,Declined,4/26/2022
Women's headdress,Declined,4/8/2024
Women's Silent Resilience,decline ,4/2/2025
Wood,Released as Emoji,4/2/2019
Wooden Wheel,Under Consideration,8/1/2025
Woodpecker,decline,4/2/2025
Worm,Released as Emoji,12/18/2018
Wrapped Food in Leaf,Declined,11/9/2018
X-Ray,Released as Emoji,3/26/2020
Xiangqi (Chinese chess),Declined,7/31/2022
Yawning Face,Released as Emoji,12/19/2017
Yeast,Declined,3/29/2019
Yeast,Declined,4/20/2024
Yellow Kiwi,Declined,11/19/2019
Yes/No/Probably,Declined,11/27/2018
YETI,Declined,5/16/2021
Yo-yo,Released as Emoji,4/18/2018
Yoga,Declined,1/17/2020
Yogurt,Declined,7/31/2024
Yogurt (A),Declined,9/24/2019
Yogurt (B),Declined,3/3/2020
Yorkshire Pudding,Declined,8/23/2021
Yurt - Nomadic Dwelling,Declined,4/8/2024
Zany Face,Released as Emoji,9/26/2016
Zebra Facing Right,decline ,4/2/2025
Zeppelin,Declined,4/18/2024
Zero Stigma HIV,Declined,7/29/2024
Zombie,Released as Emoji,9/29/2016
Zongzi,Declined,7/30/2022
